Scenario - Own_name
Logfile written - 10/25/2021 12:02:50

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

3	1	Response	1	78365	77997	2
3	2	Sound	std	85117	0	2588			0		other	0
3	3	Sound	std	94477	0	3			0		other	0
3	4	Sound	std	100268	0	3			0		other	0
3	5	Sound	std	107478	0	3			0		other	0
3	6	Sound	std	115107	0	2			0		other	0
3	7	Sound	std	121858	0	3			0		other	0
3	8	Sound	std	128157	0	3			0		other	0
3	9	Sound	std	135378	0	3			0		other	0
3	10	Sound	std	142879	0	3			0		other	0
3	11	Sound	std	149817	0	2			0		other	0
3	12	Sound	std	155847	0	3			0		other	0
3	13	Sound	std	162197	0	2			0		other	0
3	14	Sound	deviant_fall	169857	0	3			0		other	0
3	14	Sound	0	181857	12000	3			12000		other	0
3	15	Sound	std	187647	0	3			0		other	0
3	16	Sound	std	194897	0	3			0		other	0
3	17	Sound	std	201107	0	3			0		other	0
3	18	Sound	deviant_fall	207317	0	3			0		other	0
3	18	Sound	0	219317	12000	3			12000		other	0
3	19	Sound	deviant_fall	227057	0	4			0		other	0
3	19	Sound	0	239057	12000	3			12000		other	0
3	20	Sound	std	246017	0	2			0		other	0
3	21	Sound	std	252317	0	3			0		other	0
3	22	Sound	std	259747	0	3			0		other	0
3	23	Sound	std	266347	0	3			0		other	0
3	24	Sound	std	273298	0	3			0		other	0
3	25	Sound	deviant_flat	279747	0	3			0		other	0
3	25	Sound	0	291747	12000	3			12000		other	0
3	26	Sound	std	297517	0	3			0		other	0
3	27	Sound	std	303567	0	2			0		other	0
3	28	Sound	std	310827	0	4			0		other	0
3	29	Sound	deviant_flat	318277	0	3			0		other	0
3	29	Sound	0	330277	12000	3			12000		other	0
3	30	Sound	std	337777	0	3			0		other	0
3	31	Sound	std	344397	0	3			0		other	0
3	32	Sound	std	351107	0	3			0		other	0
3	33	Sound	std	358307	0	3			0		other	0
3	34	Sound	std	364756	0	3			0		other	0
3	35	Sound	std	371137	0	3			0		other	0
3	36	Sound	std	377086	0	3			0		other	0
3	37	Sound	std	384417	0	3			0		other	0
3	38	Sound	std	390756	0	2			0		other	0
3	39	Sound	std	398227	0	3			0		other	0
3	40	Sound	std	404166	0	3			0		other	0
3	41	Sound	std	411437	0	3			0		other	0
3	42	Sound	std	417616	0	3			0		other	0
3	43	Sound	std	424346	0	3			0		other	0
3	44	Sound	std	430906	0	3			0		other	0
3	45	Sound	std	437626	0	2			0		other	0
3	46	Sound	std	445006	0	3			0		other	0
3	47	Sound	deviant_rise	452066	0	3			0		other	0
3	47	Sound	0	464066	12000	3			12000		other	0
3	48	Sound	deviant_rise	471707	0	3			0		other	0
3	48	Sound	0	483707	12000	3			12000		other	0
3	49	Sound	std	490737	0	3			0		other	0
3	50	Sound	std	497766	0	3			0		other	0
3	51	Sound	std	504487	0	3			0		other	0
3	52	Sound	std	511287	0	3			0		other	0
3	53	Sound	deviant_fall	518576	0	3			0		other	0
3	53	Sound	0	530576	12000	3			12000		other	0
3	54	Sound	deviant_flat	537156	0	3			0		other	0
3	54	Sound	0	549156	12000	3			12000		other	0
3	55	Sound	std	556197	0	3			0		other	0
3	56	Sound	std	563206	0	3			0		other	0
3	57	Sound	std	569706	0	3			0		other	0
3	58	Sound	std	576816	0	2			0		other	0
3	59	Sound	deviant_rise	584327	0	3			0		other	0
3	59	Sound	0	596327	12000	3			12000		other	0
3	60	Sound	std	603906	0	3			0		other	0
3	61	Sound	std	611296	0	3			0		other	0
3	62	Sound	std	618996	0	3			0		other	0
3	63	Sound	deviant_flat	625266	0	3			0		other	0
3	63	Sound	0	637266	12000	2			12000		other	0
3	64	Sound	std	643316	0	4			0		other	0
3	65	Sound	deviant_flat	650886	0	2			0		other	0
3	65	Sound	0	662886	12000	2			12000		other	0
3	66	Sound	std	670525	0	3			0		other	0
3	67	Sound	std	677275	0	3			0		other	0
3	68	Sound	deviant_fall	684736	0	2			0		other	0
3	68	Sound	0	696736	12000	3			12000		other	0
3	69	Sound	std	703856	0	2			0		other	0
3	70	Sound	std	711595	0	3			0		other	0
3	71	Sound	std	719395	0	3			0		other	0
3	72	Sound	std	726905	0	3			0		other	0
3	73	Sound	deviant_rise	734165	0	3			0		other	0
3	73	Sound	0	746165	12000	2			12000		other	0
3	74	Sound	std	753695	0	3			0		other	0
3	75	Sound	std	761265	0	3			0		other	0
3	76	Sound	std	768985	0	3			0		other	0
3	77	Sound	std	776275	0	2			0		other	0
3	78	Sound	deviant_fall	782995	0	2			0		other	0
3	78	Sound	0	794995	12000	2			12000		other	0
3	79	Sound	std	801367	0	7			0		other	0
3	80	Sound	std	808276	0	2			0		other	0
3	81	Sound	std	814686	0	3			0		other	0
3	82	Sound	std	820955	0	2			0		other	0
3	83	Sound	deviant_fall	827744	0	2			0		other	0
3	83	Sound	0	839744	12000	2			12000		other	0
3	84	Sound	std	847125	0	3			0		other	0
3	85	Sound	std	853715	0	12			0		other	0
3	86	Sound	std	859785	0	2			0		other	0
3	87	Sound	std	866325	0	3			0		other	0
3	88	Sound	std	874035	0	3			0		other	0
3	89	Sound	std	881385	0	3			0		other	0
3	90	Sound	std	887186	0	3			0		other	0
3	91	Sound	std	894725	0	3			0		other	0
3	92	Sound	deviant_rise	901216	0	3			0		other	0
3	92	Sound	0	913216	12000	3			12000		other	0
3	93	Sound	std	920326	0	3			0		other	0
3	94	Sound	std	926475	0	3			0		other	0
3	95	Sound	deviant_fall	932466	0	3			0		other	0
3	95	Sound	0	944466	12000	3			12000		other	0
3	96	Sound	std	952135	0	3			0		other	0
3	97	Sound	std	958535	0	3			0		other	0
3	98	Sound	std	965215	0	6			0		other	0
3	99	Sound	std	971026	0	2			0		other	0
3	100	Sound	std	978155	0	3			0		other	0
3	101	Sound	std	984757	0	3			0		other	0
3	102	Sound	std	990915	0	2			0		other	0
3	103	Sound	std	997825	0	3			0		other	0
3	104	Sound	deviant_flat	1003595	0	3			0		other	0
3	104	Sound	0	1015595	12000	3			12000		other	0
3	105	Sound	std	1022215	0	3			0		other	0
3	106	Sound	std	1028915	0	3			0		other	0
3	107	Sound	std	1036035	0	3			0		other	0
3	108	Sound	std	1042726	0	3			0		other	0
3	109	Sound	std	1050485	0	3			0		other	0
3	110	Sound	std	1056915	0	3			0		other	0
3	111	Sound	deviant_fall	1063635	0	3			0		other	0
3	111	Sound	0	1075635	12000	3			12000		other	0
3	112	Sound	std	1081464	0	3			0		other	0
3	113	Sound	deviant_fall	1087915	0	5			0		other	0
3	113	Sound	0	1099915	12000	3			12000		other	0
3	114	Sound	std	1106744	0	3			0		other	0
3	115	Sound	std	1112575	0	3			0		other	0
3	116	Sound	std	1119185	0	3			0		other	0
3	117	Sound	std	1126675	0	3			0		other	0
3	118	Sound	std	1132585	0	3			0		other	0
3	119	Sound	deviant_fall	1140085	0	3			0		other	0
3	119	Sound	0	1152085	12000	3			12000		other	0
3	120	Sound	std	1158305	0	3			0		other	0
3	121	Sound	std	1164325	0	4			0		other	0
3	122	Sound	deviant_flat	1171045	0	3			0		other	0
3	122	Sound	0	1183045	12000	3			12000		other	0
3	123	Sound	std	1189814	0	3			0		other	0
3	124	Sound	deviant_fall	1197435	0	3			0		other	0
3	124	Sound	0	1209435	12000	3			12000		other	0
3	125	Sound	deviant_flat	1216605	0	3			0		other	0
3	125	Sound	0	1228605	12000	3			12000		other	0
3	126	Sound	deviant_fall	1235164	0	3			0		other	0
3	126	Sound	0	1247164	12000	2			12000		other	0
3	127	Sound	deviant_flat	1253174	0	3			0		other	0
3	127	Sound	0	1265174	12000	3			12000		other	0
3	128	Sound	std	1271444	0	3			0		other	0
3	129	Sound	deviant_fall	1279194	0	3			0		other	0
3	129	Sound	0	1291194	12000	3			12000		other	0
3	130	Sound	std	1297794	0	3			0		other	0
3	131	Sound	std	1304475	0	3			0		other	0
3	132	Sound	deviant_rise	1310655	0	2			0		other	0
3	132	Sound	0	1322655	12000	3			12000		other	0
3	133	Sound	std	1328894	0	2			0		other	0
3	134	Sound	std	1336124	0	3			0		other	0
3	135	Sound	std	1343214	0	2			0		other	0
3	136	Sound	deviant_rise	1350754	0	2			0		other	0
3	136	Sound	0	1362754	12000	3			12000		other	0
3	137	Sound	std	1370073	0	3			0		other	0
3	138	Sound	deviant_fall	1377684	0	2			0		other	0
3	138	Sound	0	1389684	12000	3			12000		other	0
3	139	Sound	std	1395554	0	3			0		other	0
3	140	Sound	std	1402694	0	3			0		other	0
3	141	Sound	std	1409384	0	3			0		other	0
3	142	Sound	std	1415184	0	2			0		other	0
3	143	Sound	deviant_rise	1422064	0	3			0		other	0
3	143	Sound	0	1434064	12000	3			12000		other	0
3	144	Sound	std	1441163	0	3			0		other	0
3	145	Sound	deviant_rise	1447764	0	3			0		other	0
3	145	Sound	0	1459764	12000	2			12000		other	0
3	146	Sound	deviant_flat	1466894	0	2			0		other	0
3	146	Sound	0	1478894	12000	3			12000		other	0
3	147	Sound	std	1485783	0	3			0		other	0
3	148	Sound	std	1493474	0	3			0		other	0
3	149	Sound	std	1500174	0	3			0		other	0
3	150	Sound	deviant_fall	1506034	0	3			0		other	0
3	150	Sound	0	1518034	12000	3			12000		other	0
3	151	Sound	deviant_fall	1524034	0	3			0		other	0
3	151	Sound	0	1536034	12000	3			12000		other	0
3	152	Sound	std	1542914	0	3			0		other	0
3	153	Sound	std	1548794	0	3			0		other	0
3	154	Sound	std	1555114	0	3			0		other	0
3	155	Sound	std	1562564	0	3			0		other	0
3	156	Sound	std	1570294	0	3			0		other	0
3	157	Sound	std	1577064	0	3			0		other	0
3	158	Sound	std	1584164	0	3			0		other	0
3	159	Sound	std	1591534	0	3			0		other	0
3	160	Sound	std	1597474	0	3			0		other	0
3	161	Sound	deviant_rise	1603674	0	3			0		other	0
3	161	Sound	0	1615674	12000	3			12000		other	0
3	162	Sound	std	1623104	0	3			0		other	0
3	163	Sound	std	1630153	0	3			0		other	0
3	164	Sound	std	1636294	0	3			0		other	0
3	165	Sound	deviant_rise	1643313	0	3			0		other	0
3	165	Sound	0	1655313	12000	3			12000		other	0
3	166	Sound	std	1661683	0	3			0		other	0
3	167	Sound	std	1668373	0	3			0		other	0
3	168	Sound	std	1674823	0	3			0		other	0
3	169	Sound	std	1682223	0	3			0		other	0
3	170	Sound	std	1687994	0	3			0		other	0
3	171	Sound	deviant_rise	1694444	0	3			0		other	0
3	171	Sound	0	1706444	12000	3			12000		other	0
3	172	Sound	std	1713603	0	3			0		other	0
3	173	Sound	std	1720774	0	3			0		other	0
3	174	Sound	std	1727703	0	3			0		other	0
3	175	Sound	std	1733994	0	3			0		other	0
