Scenario - Own_name
Logfile written - 10/25/2021 11:44:11

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

3	1	Response	1	251223	250863	2
3	2	Sound	std	257614	0	3917			0		other	0
3	3	Sound	std	268930	0	3			0		other	0
3	4	Sound	std	275440	0	3			0		other	0
3	5	Sound	std	281590	0	3			0		other	0
3	6	Sound	std	288210	0	3			0		other	0
3	7	Sound	std	295490	0	3			0		other	0
3	8	Sound	std	301840	0	2			0		other	0
3	9	Sound	std	308850	0	3			0		other	0
3	10	Sound	std	314710	0	3			0		other	0
3	11	Sound	std	320649	0	3			0		other	0
3	12	Sound	deviant_flat	327239	0	3			0		other	0
3	12	Sound	0	339239	12000	3			12000		other	0
3	13	Sound	std	346309	0	3			0		other	0
3	14	Sound	deviant_flat	353020	0	2			0		other	0
3	14	Sound	0	365020	12000	3			12000		other	0
3	15	Sound	deviant_flat	372329	0	3			0		other	0
3	15	Sound	0	384329	12000	3			12000		other	0
3	16	Sound	deviant_smile	390239	0	3			0		other	0
3	16	Sound	0	402239	12000	3			12000		other	0
3	17	Sound	deviant_rough	409189	0	2			0		other	0
3	17	Sound	0	421189	12000	3			12000		other	0
3	18	Sound	std	427970	0	3			0		other	0
3	19	Sound	std	434090	0	3			0		other	0
3	20	Sound	std	439869	0	3			0		other	0
3	21	Sound	std	446509	0	3			0		other	0
3	22	Sound	std	453509	0	3			0		other	0
3	23	Sound	std	460220	0	3			0		other	0
3	24	Sound	std	466750	0	3			0		other	0
3	25	Sound	std	473759	0	3			0		other	0
3	26	Sound	std	481430	0	3			0		other	0
3	27	Sound	std	487749	0	3			0		other	0
3	28	Sound	std	494780	0	3			0		other	0
3	29	Sound	std	501649	0	3			0		other	0
3	30	Sound	std	509229	0	3			0		other	0
3	31	Sound	std	516349	0	3			0		other	0
3	32	Sound	std	523029	0	3			0		other	0
3	33	Sound	std	530579	0	2			0		other	0
3	34	Sound	deviant_smile	537140	0	3			0		other	0
3	34	Sound	0	549140	12000	3			12000		other	0
3	35	Sound	std	554929	0	3			0		other	0
3	36	Sound	std	562279	0	2			0		other	0
3	37	Sound	std	568960	0	3			0		other	0
